CompanyCode,Region,Location,ItemGrp,ItemCategory,ItemSubCategory,C-Qtr,P-Qtr,Variance,Indicator,C-Qtr Quantity,P-Qtr Quantity,Variance,Indicator
BFPL,NORTH,Delhi,[JAM],JAM 200,MIXED JAM 48 X 200GM,0.00,0.02,-1.00,?,0,0,-1.00,?
BFPL,NORTH,Delhi,[JAM],JAM 200,ORANGE MARMALADE JAM 48 X200GM,0.00,0.08,-0.94,?,0,0,-0.95,?
BFPL,NORTH,Delhi,[JAM],JAM 200,PINEAPPLE JAM   48 X200GM,0.00,0.04,-1.00,?,0,0,-1.00,?
BFPL,NORTH,Delhi,[JAM],JAM 200,PINEAPPLE JAM 48 X200GM,0.00,0.00,-1.00,?,0,0,-1.00,?
BFPL,NORTH,Delhi,[JAM],JAM 200,STRAWBERRY JAM 48 X 200GM,0.02,0.03,-0.19,?,0,0,-0.28,?
BFPL,NORTH,Delhi,[JAM],JAM 500,APPLE JAM (12X500),0.08,0.23,-0.64,?,0,0,-0.65,?
BFPL,NORTH,Delhi,[JAM],JAM 500,APPRICOT JAM 12X500GM,0.67,1.54,-0.57,?,0,1,-0.57,?
BFPL,NORTH,Delhi,[JAM],JAM 500,GUAVA JELLY (12X500)GM,0.07,0.22,-0.67,?,0,0,-0.67,?
BFPL,NORTH,Delhi,[JAM],JAM 500,MANGO JAM (12X500)GM,0.08,0.23,-0.65,?,0,0,-0.64,?
BFPL,NORTH,Delhi,[JAM],JAM 500,MIX FRUIT JAM (12X500)GM,0.89,2.56,-0.65,?,1,2,-0.66,?
BFPL,NORTH,Delhi,[JAM],JAM 500,ORANGE MARMALADE (12X500)GM,0.58,2.03,-0.71,?,0,1,-0.72,?
BFPL,NORTH,Delhi,[JAM],JAM 500,PINEAPPLE JAM (12X500)GM,0.12,0.58,-0.79,?,0,0,-0.78,?
